1.000  31.0377  30.0377  29.0377  28.0377
1.040  30.7062  29.7062  28.7062  27.7062
1.080  30.4055  29.4055  28.4055  27.4055
1.120  30.1331  29.1331  28.1331  27.1331
1.160  29.8864  28.8864  27.8864  26.8864
1.200  29.6631  28.6631  27.6631  26.6631
1.240  29.4614  28.4614  27.4614  26.4614
1.280  29.2791  28.2791  27.2791  26.2791
1.320  29.1146  28.1146  27.1146  26.1146
1.360  28.9662  27.9662  26.9662  25.9662
1.400  28.8330  27.8330  26.8330  25.8330
1.440  28.7129  27.7129  26.7129  25.7129
1.480  28.6052  27.6052  26.6052  25.6052
1.520  28.5086  27.5088  26.5088  25.5088
1.560  28.4222  27.4225  26.4225  25.4225
1.600  28.3447  27.3454  26.3455  25.3455
1.640  28.2751  27.2767  26.2769  25.2769
1.680  28.2120  27.2153  26.2157  25.2157
1.720  28.1541  27.1605  26.1611  25.1612
1.760  28.0995  27.1111  26.1123  25.1124
1.800  28.0460  27.0664  26.0684  25.0686
1.840  27.9914  27.0251  26.0286  25.0290
1.880  27.9333  26.9863  25.9918  24.9927
1.920  27.8697  26.9488  25.9578  24.9586
1.960  27.7989  26.9119  25.9248  24.9263
2.000  27.7206  26.8742  25.8931  24.8948
2.040  27.6353  26.8353  25.8614  24.8642
2.080  27.5447  26.7948  25.8300  24.8336
2.120  27.4506  26.7523  25.7983  24.8030
2.160  27.3551  26.7080  25.7660  24.7724
2.200  27.2597  26.6619  25.7338  24.7416
2.240  27.1661  26.6146  25.7011  24.7109
2.280  27.0751  26.5666  25.6690  24.6807
2.320  26.9876  26.5183  25.6370  24.6509
2.360  26.9041  26.4702  25.6057  24.6220
2.400  26.8245  26.4229  25.5754  24.5941
2.440  26.7496  26.3765  25.5464  24.5677
2.480  26.6788  26.3317  25.5186  24.5426
2.520  26.6124  26.2886  25.4923  24.5190
2.560  26.5504  26.2473  25.4674  24.4970
2.600  26.4924  26.2078  25.4439  24.4765
